"TokenNumber","TokenPadded","Title","WorkID","Range","SourceImagePath","SourceBytes","ImagePath","ImageFileName","DestinationImagePath","ItemPage","PublicPageURL","OpenSeaItemURL","Status","Note"
"4001","4001","Light Cult Crypto Club #4001","RE-005811","4001-4100","","","","","","items/lccc-4001.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4001.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4001","MISSING SOURCE IMAGE","No source image found for token #4001"
"4002","4002","Light Cult Crypto Club #4002","RE-005812","4001-4100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-4002.png","20524","images/4001-4100/LCCC-4002.png","LCCC-4002.png","D:\github\ron-english-light-cult-4001-5000\images\4001-4100\LCCC-4002.png","items/lccc-4002.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4002.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4002","OK",""
"4003","4003","Light Cult Crypto Club #4003","RE-005813","4001-4100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-4003.png","11304","images/4001-4100/LCCC-4003.png","LCCC-4003.png","D:\github\ron-english-light-cult-4001-5000\images\4001-4100\LCCC-4003.png","items/lccc-4003.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4003.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4003","OK",""
"4004","4004","Light Cult Crypto Club #4004","RE-005814","4001-4100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-4004.png","32093","images/4001-4100/LCCC-4004.png","LCCC-4004.png","D:\github\ron-english-light-cult-4001-5000\images\4001-4100\LCCC-4004.png","items/lccc-4004.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4004.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4004","OK",""
"4005","4005","Light Cult Crypto Club #4005","RE-005815","4001-4100","","","","","","items/lccc-4005.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4005.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4005","MISSING SOURCE IMAGE","No source image found for token #4005"
"4006","4006","Light Cult Crypto Club #4006","RE-005816","4001-4100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-4006.png","26176","images/4001-4100/LCCC-4006.png","LCCC-4006.png","D:\github\ron-english-light-cult-4001-5000\images\4001-4100\LCCC-4006.png","items/lccc-4006.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4006.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4006","OK",""
"4007","4007","Light Cult Crypto Club #4007","RE-005817","4001-4100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-4007.png","14716","images/4001-4100/LCCC-4007.png","LCCC-4007.png","D:\github\ron-english-light-cult-4001-5000\images\4001-4100\LCCC-4007.png","items/lccc-4007.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4007.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4007","OK",""
"4008","4008","Light Cult Crypto Club #4008","RE-005818","4001-4100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-4008.png","27186","images/4001-4100/LCCC-4008.png","LCCC-4008.png","D:\github\ron-english-light-cult-4001-5000\images\4001-4100\LCCC-4008.png","items/lccc-4008.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4008.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4008","OK",""
"4009","4009","Light Cult Crypto Club #4009","RE-005819","4001-4100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-4009.png","5912","images/4001-4100/LCCC-4009.png","LCCC-4009.png","D:\github\ron-english-light-cult-4001-5000\images\4001-4100\LCCC-4009.png","items/lccc-4009.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4009.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4009","OK",""
"4010","4010","Light Cult Crypto Club #4010","RE-005820","4001-4100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-4010.png","16132","images/4001-4100/LCCC-4010.png","LCCC-4010.png","D:\github\ron-english-light-cult-4001-5000\images\4001-4100\LCCC-4010.png","items/lccc-4010.html","https://ronenglish-archive.github.io/ron-english-light-cult-4001-5000/items/lccc-4010.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/4010","OK",""
